Gemeinde,Ledige Männer Total +/-,Ledige Frauen Total +/-,Ledige20-24 JahreFrauen Total+/-,Ledige20-24 JahreMänner Total+/-,Ledige25-29 JahreFrauen Total+/-,Ledige25-29 JahreMänner Total+/-,Ledige30-34 JahreFrauen Total+/-,Ledige30-34 JahreMänner Total+/-,Ledige35-39 JahreFrauen Total+/-,Ledige35-39 JahreMänner Total+/-,Ledige40-44 JahreFrauen Total+/-,Ledige40-44 JahreMänner Total+/-,Ledige45-49 JahreFrauen Total+/-,Ledige45-49 JahreMänner Total+/-,Ledige50-54 JahreFrauen Total+/-,Ledige50-54 JahreMänner Total+/-,Ledige55-59 JahreFrauen Total+/-,Ledige55-59 JahreMänner Total+/-,Ledige60-64 JahreFrauen Total+/-,Ledige60-64 JahreMänner Total+/-,Ledige65-69 JahreFrauen Total+/-,Ledige65-69 JahreMänner Total+/-,Ledige70-74 JahreFrauen Total+/-,Ledige70-74 JahreMänner Total+/-,Ledige75-79 JahreFrauen Total+/-,Ledige75-79 JahreMänner Total+/-,Ledige80-84 JahreFrauen Total+/-,Ledige80-84 JahreMänner Total+/-,Ledige85-89 JahreFrauen Total+/-,Ledige85-89 JahreMänner Total+/-,Ledige90-94 JahreFrauen Total+/-,Ledige90-94 JahreMänner Total+/-
Syens,14,-14,-3,3,0,0,0,0,1,-1,1,-1,-1,1,0,0,-2,2,-1,1,-1,1,-1,1,0,0,-2,2,1,-1,0,0
Villars-le-Comte,-3,3,-5,5,-2,2,0,0,-2,2,-1,1,0,0,0,0,0,0,-1,1,-1,1,3,-3,0,0,2,-2,2,-2,3,-3
Vucherens,-4,4,1,-1,-8,8,-3,3,-5,5,3,-3,-2,2,4,-4,-4,4,5,-5,5,-5,0,0,2,-2,6,-6,5,-5,2,-2
Carrouge (VD),-14,14,2,-2,4,-4,-8,8,3,-3,-1,1,3,-3,5,-5,12,-12,2,-2,6,-6,0,0,0,0,3,-3,0,0,6,-6
Corcelles-le-Jorat,-16,16,-2,2,-1,1,-5,5,1,-1,-1,1,-2,2,-1,1,-1,1,0,0,3,-3,2,-2,6,-6,3,-3,3,-3,5,-5
Ropraz,16,-16,-2,2,0,0,-12,12,-1,1,-2,2,0,0,0,0,-2,2,0,0,0,0,2,-2,0,0,1,-1,2,-2,0,0
Vulliens,2,-2,-9,9,-4,4,-4,4,-4,4,2,-2,6,-6,4,-4,8,-8,-3,3,-1,1,4,-4,-2,2,6,-6,4,-4,2,-2
Champtauroz,7,-7,2,-2,1,-1,-1,1,2,-2,1,-1,-2,2,1,-1,-1,1,1,-1,-1,1,0,0,2,-2,0,0,1,-1,-1,1
Chevroux,2,-2,-4,4,-8,8,3,-3,-1,1,-2,2,-4,4,-4,4,1,-1,-3,3,-2,2,6,-6,1,-1,4,-4,2,-2,2,-2
Corcelles-près-Payerne,-61,61,-1,1,-17,17,-15,15,2,-2,-2,2,7,-7,9,-9,5,-5,7,-7,7,-7,13,-13,9,-9,5,-5,17,-17,-1,1
Grandcour,7,-7,-2,2,-7,7,1,-1,-1,1,-5,5,-4,4,-7,7,2,-2,-2,2,5,-5,4,-4,4,-4,7,-7,6,-6,3,-3
Henniez,14,-14,-3,3,-1,1,6,-6,-1,1,1,-1,-4,4,-4,4,-4,4,0,0,0,0,-3,3,2,-2,-1,1,0,0,1,-1
Missy,-3,3,1,-1,-2,2,-4,4,4,-4,-1,1,1,-1,1,-1,-2,2,1,-1,-3,3,4,-4,-1,1,3,-3,3,-3,0,0
Payerne,-224,224,-21,21,-70,70,-41,41,-15,15,-32,32,11,-11,-1,1,21,-21,37,-37,43,-43,54,-54,53,-53,66,-66,78,-78,39,-39
Trey,-11,11,0,0,2,-2,-1,1,1,-1,-2,2,-1,1,6,-6,-2,2,2,-2,3,-3,1,-1,2,-2,-1,1,1,-1,2,-2
Treytorrens (Payerne),4,-4,0,0,-1,1,-3,3,1,-1,0,0,1,-1,-1,1,4,-4,-2,2,-2,2,-1,1,-1,1,1,-1,0,0,1,-1
Villarzel,-1,1,-5,5,1,-1,-1,1,-2,2,3,-3,-2,2,0,0,-3,3,-1,1,-1,1,2,-2,-2,2,1,-1,7,-7,4,-4
Valbroye,2,-2,-5,5,-32,32,-18,18,2,-2,0,0,-7,7,7,-7,2,-2,1,-1,9,-9,11,-11,23,-23,13,-13,11,-11,6,-6
Bettens,-9,9,-2,2,2,-2,2,-2,-4,4,1,-1,-9,9,4,-4,2,-2,-1,1,0,0,3,-3,1,-1,-2,2,-1,1,0,0
Bournens,8,-8,1,-1,-6,6,4,-4,-1,1,0,0,0,0,0,0,-2,2,-1,1,0,0,0,0,3,-3,3,-3,-1,1,0,0
Boussens,-32,32,-10,10,1,-1,-10,10,-2,2,7,-7,2,-2,7,-7,8,-8,5,-5,1,-1,5,-5,2,-2,0,0,4,-4,2,-2
Daillens,-13,13,-3,3,-12,12,-3,3,5,-5,-6,6,5,-5,8,-8,1,-1,5,-5,0,0,2,-2,2,-2,5,-5,0,0,2,-2
Lussery-Villars,13,-13,-9,9,-4,4,-8,8,4,-4,-4,4,2,-2,-2,2,-1,1,1,-1,2,-2,-1,1,2,-2,4,-4,1,-1,0,0
Mex (VD),-34,34,10,-10,-1,1,4,-4,-7,7,-2,2,5,-5,5,-5,1,-1,2,-2,0,0,3,-3,3,-3,5,-5,3,-3,0,0
Penthalaz,-137,137,-19,19,-9,9,0,0,-6,6,14,-14,16,-16,19,-19,2,-2,4,-4,10,-10,10,-10,31,-31,12,-12,21,-21,18,-18
Penthaz,-21,21,-7,7,-2,2,-1,1,7,-7,-7,7,7,-7,2,-2,4,-4,0,0,2,-2,-1,1,6,-6,7,-7,4,-4,3,-3
Sullens,-6,6,-4,4,-11,11,1,-1,-3,3,0,0,2,-2,-3,3,5,-5,-4,4,0,0,2,-2,5,-5,3,-3,1,-1,2,-2
Vufflens-la-Ville,4,-4,-5,5,-6,6,-8,8,-3,3,1,-1,-4,4,-1,1,-3,3,2,-2,9,-9,-1,1,8,-8,0,0,2,-2,4,-4
Assens,-27,27,6,-6,-14,14,-1,1,-3,3,-2,2,5,-5,-1,1,2,-2,-1,1,4,-4,-1,1,5,-5,5,-5,3,-3,3,-3
Bercher,10,-10,-15,15,-11,11,-6,6,-2,2,-4,4,0,0,-2,2,8,-8,1,-1,3,-3,5,-5,8,-8,3,-3,8,-8,4,-4
Bioley-Orjulaz,-7,7,-4,4,-1,1,-2,2,-2,2,0,0,0,0,-1,1,1,-1,2,-2,-1,1,-2,2,0,0,6,-6,2,-2,1,-1
Bottens,19,-19,13,-13,-18,18,-12,12,3,-3,2,-2,0,0,-1,1,-2,2,6,-6,2,-2,3,-3,-2,2,0,0,4,-4,2,-2
Bretigny-sur-Morrens,-1,1,-13,13,-8,8,-3,3,1,-1,1,-1,6,-6,6,-6,0,0,1,-1,3,-3,-1,1,2,-2,3,-3,6,-6,0,0
Cugy (VD),-64,64,-4,4,-22,22,-15,15,-2,2,0,0,7,-7,8,-8,1,-1,20,-20,13,-13,18,-18,19,-19,0,0,9,-9,3,-3
Echallens,-99,99,-49,49,-23,23,-9,9,-7,7,24,-24,13,-13,31,-31,15,-15,1,-1,17,-17,13,-13,28,-28,42,-42,22,-22,19,-19
Essertines-sur-Yverdon,6,-6,-11,11,-1,1,-5,5,-5,5,-2,2,11,-11,-3,3,0,0,-3,3,1,-1,8,-8,4,-4,1,-1,1,-1,1,-1
Etagnières,24,-24,-5,5,-11,11,-10,10,-4,4,-7,7,-10,10,0,0,3,-3,-2,2,0,0,0,0,7,-7,6,-6,3,-3,0,0
Fey,18,-18,1,-1,-1,1,-2,2,-5,5,1,-1,0,0,-1,1,-2,2,-4,4,3,-3,2,-2,0,0,1,-1,2,-2,0,0
Froideville,61,-61,1,-1,-16,16,-15,15,-10,10,-9,9,10,-10,7,-7,-9,9,5,-5,4,-4,3,-3,1,-1,4,-4,3,-3,2,-2
Morrens (VD),-46,46,1,-1,4,-4,-5,5,2,-2,5,-5,3,-3,-2,2,-5,5,2,-2,8,-8,-1,1,10,-10,8,-8,3,-3,3,-3
Oulens-sous-Echallens,4,-4,0,0,-4,4,2,-2,-5,5,-2,2,-2,2,3,-3,-3,3,3,-3,5,-5,0,0,1,-1,2,-2,-2,2,-1,1
Pailly,12,-12,-5,5,-7,7,1,-1,0,0,1,-1,-3,3,2,-2,1,-1,1,-1,-5,5,3,-3,0,0,1,-1,-1,1,1,-1
Penthéréaz,-8,8,2,-2,-2,2,0,0,-2,2,-1,1,0,0,3,-3,2,-2,0,0,-1,1,1,-1,1,-1,3,-3,1,-1,1,-1
Poliez-Pittet,-24,24,-5,5,2,-2,-6,6,1,-1,5,-5,-1,1,-2,2,-2,2,-1,1,3,-3,7,-7,2,-2,1,-1,2,-2,0,0
Rueyres,8,-8,7,-7,-7,7,-2,2,-1,1,-4,4,1,-1,-1,1,-1,1,-1,1,0,0,0,0,-1,1,0,0,1,-1,1,-1
Saint-Barthélemy (VD),55,-55,-4,4,-11,11,1,-1,0,0,-2,2,-13,13,0,0,2,-2,-4,4,-2,2,1,-1,2,-2,-1,1,3,-3,3,-3
Villars-le-Terroir,22,-22,-11,11,-13,13,4,-4,-12,12,3,-3,-2,2,2,-2,-4,4,4,-4,-3,3,4,-4,3,-3,9,-9,2,-2,4,-4
Vuarrens,13,-13,-4,4,1,-1,-5,5,-4,4,3,-3,-2,2,-8,8,4,-4,-9,9,2,-2,0,0,2,-2,1,-1,4,-4,5,-5
Montilliez,-6,6,0,0,2,-2,-8,8,1,-1,-1,1,-4,4,11,-11,3,-3,4,-4,3,-3,16,-16,2,-2,3,-3,4,-4,3,-3
Goumoëns,30,-30,-4,4,-3,3,1,-1,-5,5,2,-2,1,-1,-3,3,3,-3,-3,3,3,-3,-4,4,2,-2,5,-5,2,-2,6,-6
Boulens,6,-6,-6,6,1,-1,-2,2,1,-1,0,0,0,0,0,0,1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,3,-3,0,0
Ogens,-6,6,0,0,-2,2,-2,2,1,-1,2,-2,-1,1,-1,1,0,0,0,0,0,0,0,0,2,-2,4,-4,4,-4,-1,1
Montanaire,19,-19,-15,15,-16,16,-3,3,-8,8,3,-3,-1,1,-11,11,2,-2,-7,7,6,-6,-3,3,11,-11,16,-16,9,-9,11,-11
Jorat-Menthue,23,-23,1,-1,-13,13,-6,6,-6,6,-1,1,-2,2,-4,4,-6,6,0,0,5,-5,5,-5,6,-6,2,-2,7,-7,5,-5
Oppens,16,-16,-4,4,2,-2,-4,4,-3,3,-1,1,1,-1,-2,2,0,0,-4,4,2,-2,-1,1,1,-1,0,0,0,0,0,0
Bonvillars,-13,13,0,0,-5,5,0,0,-2,2,3,-3,3,-3,-2,2,1,-1,-2,2,-1,1,2,-2,1,-1,4,-4,4,-4,1,-1
Bullet,-15,15,1,-1,-6,6,1,-1,-4,4,-5,5,2,-2,-1,1,1,-1,1,-1,0,0,7,-7,5,-5,9,-9,11,-11,2,-2
Champagne,3,-3,-4,4,-9,9,-14,14,-3,3,0,0,-1,1,3,-3,-4,4,4,-4,11,-11,5,-5,4,-4,3,-3,3,-3,4,-4
Concise,-10,10,-13,13,10,-10,-2,2,-10,10,4,-4,-4,4,6,-6,2,-2,-2,2,5,-5,0,0,5,-5,6,-6,2,-2,2,-2
Corcelles-près-Concise,-27,27,-4,4,2,-2,0,0,1,-1,1,-1,2,-2,1,-1,-2,2,1,-1,1,-1,2,-2,1,-1,2,-2,4,-4,3,-3
Fiez,-10,10,7,-7,-3,3,3,-3,2,-2,1,-1,1,-1,3,-3,5,-5,-3,3,1,-1,0,0,0,0,1,-1,2,-2,2,-2
Fontaines-sur-Grandson,-12,12,0,0,6,-6,-2,2,0,0,0,0,-1,1,2,-2,0,0,2,-2,0,0,0,0,0,0,1,-1,2,-2,0,0
Giez,1,-1,-10,10,-5,5,-2,2,2,-2,-4,4,2,-2,-2,2,2,-2,-1,1,1,-1,2,-2,1,-1,4,-4,3,-3,-1,1
Grandevent,-13,13,0,0,-2,2,2,-2,-1,1,3,-3,1,-1,-1,1,-1,1,0,0,0,0,2,-2,2,-2,1,-1,0,0,-1,1
Grandson,-52,52,-19,19,-5,5,-6,6,-14,14,-3,3,-2,2,-6,6,-4,4,19,-19,2,-2,-2,2,6,-6,17,-17,19,-19,2,-2
Mauborget,17,-17,-4,4,1,-1,0,0,0,0,3,-3,-4,4,-1,1,-2,2,-1,1,-3,3,0,0,2,-2,0,0,-1,1,1,-1
Mutrux,-2,2,-5,5,-2,2,2,-2,-3,3,-1,1,1,-1,1,-1,1,-1,-1,1,2,-2,0,0,1,-1,2,-2,0,0,1,-1
Novalles,0,0,3,-3,-2,2,0,0,-1,1,-2,2,-2,2,1,-1,1,-1,2,-2,0,0,2,-2,0,0,1,-1,1,-1,0,0
Onnens (VD),-8,8,3,-3,-4,4,-2,2,2,-2,-4,4,-1,1,-3,3,2,-2,1,-1,4,-4,6,-6,0,0,-2,2,0,0,2,-2
Provence,15,-15,-8,8,2,-2,-6,6,-4,4,-3,3,0,0,-3,3,-4,4,-2,2,-2,2,2,-2,1,-1,3,-3,1,-1,2,-2
Sainte-Croix,0,0,-44,44,-37,37,-45,45,-27,27,-26,26,11,-11,1,-1,2,-2,-2,2,12,-12,32,-32,37,-37,50,-50,50,-50,36,-36
Tévenon,-32,32,-4,4,1,-1,-3,3,4,-4,-5,5,-6,6,6,-6,3,-3,1,-1,-4,4,3,-3,6,-6,7,-7,10,-10,5,-5
L'Abergement,6,-6,-3,3,-5,5,-3,3,1,-1,1,-1,2,-2,0,0,-3,3,0,0,3,-3,0,0,0,0,2,-2,6,-6,0,0
Agiez,-24,24,6,-6,-5,5,-4,4,2,-2,2,-2,-3,3,3,-3,6,-6,4,-4,-2,2,1,-1,0,0,-1,1,0,0,0,0
Arnex-sur-Orbe,4,-4,-1,1,-5,5,-1,1,1,-1,-2,2,1,-1,2,-2,1,-1,1,-1,-4,4,2,-2,1,-1,4,-4,4,-4,2,-2
Ballaigues,-23,23,-4,4,-5,5,-8,8,-4,4,-4,4,3,-3,-7,7,1,-1,-3,3,1,-1,15,-15,6,-6,7,-7,3,-3,7,-7
Baulmes,-6,6,-10,10,-5,5,1,-1,-2,2,4,-4,-3,3,6,-6,0,0,1,-1,-1,1,-4,4,10,-10,3,-3,7,-7,7,-7
Bavois,12,-12,-15,15,-13,13,-3,3,-3,3,6,-6,-6,6,2,-2,-1,1,-2,2,-1,1,-1,1,6,-6,3,-3,4,-4,2,-2
Bofflens,7,-7,0,0,2,-2,-5,5,1,-1,-2,2,0,0,-2,2,1,-1,0,0,1,-1,1,-1,2,-2,-1,1,0,0,1,-1
Bretonnières,-14,14,-2,2,0,0,1,-1,2,-2,-1,1,0,0,0,0,2,-2,0,0,0,0,1,-1,-1,1,2,-2,1,-1,3,-3
Chavornay,53,-53,-6,6,12,-12,-32,32,-10,10,-14,14,-9,9,17,-17,3,-3,2,-2,17,-17,18,-18,3,-3,17,-17,7,-7,3,-3
Les Clées,-3,3,-2,2,3,-3,-2,2,-2,2,0,0,0,0,0,0,-2,2,2,-2,2,-2,1,-1,0,0,0,0,2,-2,0,0
Corcelles-sur-Chavornay,1,-1,-5,5,-4,4,-4,4,1,-1,4,-4,0,0,2,-2,0,0,-2,2,4,-4,-2,2,-2,2,3,-3,2,-2,0,0
Croy,-28,28,5,-5,-1,1,-3,3,3,-3,2,-2,-1,1,4,-4,2,-2,1,-1,-1,1,-1,1,1,-1,7,-7,6,-6,4,-4
Juriens,-19,19,-2,2,-4,4,0,0,0,0,1,-1,0,0,2,-2,-1,1,1,-1,0,0,0,0,5,-5,4,-4,1,-1,-1,1
Lignerolle,25,-25,-5,5,-7,7,0,0,0,0,-1,1,1,-1,-1,1,-5,5,2,-2,2,-2,-2,2,1,-1,2,-2,1,-1,-2,2
Montcherand,-15,15,-3,3,-12,12,2,-2,-2,2,-4,4,6,-6,1,-1,1,-1,4,-4,-4,4,0,0,5,-5,1,-1,6,-6,1,-1
Orbe,-147,147,9,-9,-32,32,-39,39,-3,3,-11,11,0,0,23,-23,27,-27,13,-13,24,-24,41,-41,33,-33,36,-36,44,-44,20,-20
La Praz,4,-4,-2,2,2,-2,2,-2,0,0,1,-1,-3,3,-4,4,0,0,1,-1,0,0,-1,1,0,0,0,0,-1,1,0,0
Premier,8,-8,-2,2,-6,6,-2,2,0,0,-2,2,-4,4,7,-7,3,-3,0,0,-1,1,1,-1,1,-1,1,-1,2,-2,1,-1
Rances,13,-13,-4,4,-1,1,-1,1,-2,2,0,0,-4,4,2,-2,8,-8,-5,5,4,-4,-2,2,0,0,4,-4,2,-2,-2,2
Romainmôtier-Envy,-11,11,-3,3,2,-2,-3,3,0,0,0,0,-6,6,0,0,6,-6,5,-5,3,-3,4,-4,1,-1,4,-4,2,-2,0,0
Sergey,10,-10,-3,3,0,0,1,-1,3,-3,0,0,-2,2,-2,2,5,-5,0,0,1,-1,-2,2,0,0,0,0,1,-1,1,-1
Valeyres-sous-Rances,8,-8,-3,3,-1,1,-1,1,-3,3,1,-1,2,-2,2,-2,-1,1,-2,2,0,0,3,-3,3,-3,2,-2,6,-6,1,-1
Vallorbe,5,-5,-34,34,-17,17,-26,26,-8,8,-25,25,-8,8,1,-1,6,-6,15,-15,19,-19,3,-3,21,-21,26,-26,30,-30,10,-10
Vaulion,-12,12,-3,3,-5,5,0,0,-1,1,-5,5,5,-5,2,-2,-5,5,-3,3,1,-1,-3,3,6,-6,1,-1,7,-7,6,-6
Vuiteboeuf,10,-10,11,-11,-8,8,-12,12,-5,5,1,-1,-3,3,7,-7,-1,1,2,-2,0,0,4,-4,2,-2,1,-1,0,0,0,0
L'Abbaye,-29,29,3,-3,-12,12,-4,4,4,-4,-7,7,6,-6,5,-5,3,-3,-20,20,7,-7,8,-8,2,-2,20,-20,18,-18,8,-8
Le Chenit,-29,29,-15,15,-31,31,-37,37,-25,25,-28,28,0,0,-17,17,17,-17,11,-11,12,-12,23,-23,46,-46,49,-49,40,-40,24,-24
Le Lieu,21,-21,-4,4,-14,14,-8,8,-3,3,-5,5,3,-3,2,-2,2,-2,-3,3,2,-2,7,-7,1,-1,7,-7,4,-4,8,-8
Belmont-sur-Yverdon,19,-19,-6,6,-1,1,-1,1,-5,5,-1,1,1,-1,-8,8,4,-4,-1,1,4,-4,1,-1,-2,2,2,-2,-2,2,4,-4
Bioley-Magnoux,9,-9,-3,3,-2,2,-2,2,2,-2,-1,1,2,-2,0,0,-1,1,-5,5,-1,1,0,0,1,-1,5,-5,3,-3,1,-1
Chamblon,33,-33,9,-9,-15,15,-12,12,-2,2,-4,4,-2,2,2,-2,-9,9,2,-2,1,-1,-2,2,2,-2,3,-3,2,-2,6,-6
Champvent,2,-2,-2,2,-8,8,-6,6,3,-3,-2,2,0,0,-4,4,-2,2,1,-1,-2,2,2,-2,1,-1,4,-4,5,-5,3,-3
Chavannes-le-Chêne,-7,7,-6,6,-5,5,-1,1,-2,2,1,-1,2,-2,-2,2,-2,2,4,-4,-3,3,4,-4,-3,3,5,-5,2,-2,1,-1
Chêne-Pâquier,-3,3,-1,1,-1,1,1,-1,0,0,1,-1,-1,1,0,0,2,-2,0,0,2,-2,1,-1,0,0,-1,1,0,0,0,0
Cheseaux-Noréaz,32,-32,0,0,1,-1,0,0,-2,2,0,0,-5,5,-4,4,4,-4,-3,3,2,-2,3,-3,3,-3,1,-1,5,-5,-1,1
Cronay,5,-5,-2,2,3,-3,-2,2,1,-1,2,-2,-1,1,-1,1,-2,2,0,0,-2,2,3,-3,0,0,4,-4,1,-1,0,0
Cuarny,5,-5,-2,2,-2,2,0,0,-4,4,-3,3,-2,2,2,-2,3,-3,-3,3,-1,1,0,0,0,0,1,-1,1,-1,2,-2
Démoret,5,-5,1,-1,-2,2,-2,2,0,0,-1,1,-1,1,-2,2,1,-1,-2,2,1,-1,2,-2,0,0,1,-1,2,-2,0,0
Donneloye,-1,1,-6,6,-9,9,-7,7,2,-2,-4,4,2,-2,-2,2,-4,4,5,-5,-1,1,-1,1,1,-1,7,-7,7,-7,0,0
Ependes (VD),-5,5,-2,2,0,0,-1,1,1,-1,-1,1,4,-4,4,-4,-1,1,1,-1,-1,1,2,-2,-3,3,-1,1,-1,1,0,0
Essert-Pittet,13,-13,2,-2,-10,10,-1,1,-1,1,1,-1,1,-1,-3,3,-3,3,1,-1,2,-2,-1,1,2,-2,1,-1,-2,2,0,0
Mathod,22,-22,-16,16,-4,4,-6,6,-4,4,3,-3,-4,4,2,-2,-1,1,0,0,2,-2,2,-2,5,-5,5,-5,2,-2,0,0
Molondin,-7,7,-4,4,5,-5,-4,4,1,-1,-1,1,1,-1,-2,2,-4,4,1,-1,-2,2,1,-1,2,-2,-1,1,1,-1,2,-2
Montagny-près-Yverdon,11,-11,1,-1,-10,10,-1,1,-5,5,-1,1,6,-6,1,-1,-4,4,-2,2,-3,3,3,-3,4,-4,7,-7,3,-3,2,-2
Orges,8,-8,-5,5,-2,2,0,0,-1,1,-4,4,1,-1,-1,1,1,-1,0,0,0,0,1,-1,0,0,3,-3,2,-2,-1,1
Orzens,-12,12,6,-6,-1,1,-4,4,-2,2,1,-1,2,-2,1,-1,-1,1,2,-2,0,0,0,0,0,0,6,-6,2,-2,0,0
Pomy,7,-7,-7,7,-3,3,4,-4,2,-2,0,0,-6,6,2,-2,-1,1,-1,1,2,-2,2,-2,-1,1,0,0,1,-1,4,-4
Rovray,-7,7,1,-1,1,-1,-1,1,0,0,-2,2,2,-2,4,-4,1,-1,-1,1,-2,2,0,0,-2,2,0,0,1,-1,2,-2
Suchy,14,-14,-4,4,3,-3,4,-4,-4,4,-3,3,-2,2,4,-4,3,-3,-2,2,-1,1,1,-1,1,-1,4,-4,2,-2,-1,1
Suscévaz,-2,2,8,-8,-1,1,-1,1,0,0,-1,1,-1,1,1,-1,3,-3,3,-3,-1,1,0,0,0,0,1,-1,1,-1,-1,1
Treycovagnes,-22,22,-1,1,0,0,3,-3,-6,6,-1,1,0,0,4,-4,2,-2,1,-1,3,-3,1,-1,2,-2,4,-4,1,-1,1,-1
Ursins,-6,6,3,-3,-2,2,-2,2,0,0,2,-2,-2,2,0,0,2,-2,-3,3,1,-1,3,-3,1,-1,2,-2,1,-1,1,-1
Valeyres-sous-Montagny,0,0,-4,4,-7,7,-11,11,0,0,-3,3,6,-6,-5,5,-11,11,0,0,2,-2,5,-5,1,-1,7,-7,4,-4,4,-4
Valeyres-sous-Ursins,5,-5,0,0,-3,3,0,0,1,-1,-1,1,1,-1,0,0,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,0,0,1,-1
Villars-Epeney,5,-5,0,0,-1,1,0,0,0,0,0,0,0,0,2,-2,-1,1,-1,1,-1,1,0,0,0,0,0,0,-1,1,1,-1
Vugelles-La Mothe,-10,10,-6,6,0,0,2,-2,-1,1,2,-2,1,-1,-3,3,-1,1,0,0,1,-1,1,-1,3,-3,0,0,2,-2,0,0
Yverdon-les-Bains,-865,865,-71,71,-233,233,-180,180,-101,101,-11,11,9,-9,101,-101,97,-97,136,-136,177,-177,204,-204,225,-225,235,-235,223,-223,135,-135
Yvonand,-81,81,-11,11,-13,13,-17,17,0,0,3,-3,19,-19,3,-3,3,-3,8,-8,11,-11,7,-7,18,-18,29,-29,28,-28,17,-17
Cheseaux-sur-Lausanne,-35,35,-27,27,-28,28,-9,9,-11,11,-6,6,9,-9,-3,3,16,-16,21,-21,17,-17,17,-17,16,-16,19,-19,18,-18,8,-8
Epalinges,-374,374,2,-2,0,0,-11,11,-9,9,3,-3,23,-23,39,-39,26,-26,51,-51,60,-60,50,-50,52,-52,58,-58,31,-31,34,-34
Jouxtens-Mézery,2,-2,-1,1,0,0,-8,8,5,-5,-7,7,3,-3,-5,5,8,-8,-4,4,3,-3,5,-5,4,-4,4,-4,8,-8,1,-1
Lausanne,-5804,5804,-228,228,-236,236,-469,469,-282,282,-221,221,205,-205,439,-439,596,-596,633,-633,899,-899,933,-933,989,-989,1123,-1123,1036,-1036,622,-622
Le Mont-sur-Lausanne,-122,122,15,-15,-23,23,-14,14,-28,28,3,-3,0,0,13,-13,11,-11,15,-15,23,-23,32,-32,22,-22,47,-47,44,-44,17,-17
Romanel-sur-Lausanne,-34,34,-22,22,-8,8,-12,12,-9,9,-12,12,17,-17,11,-11,12,-12,18,-18,22,-22,20,-20,9,-9,17,-17,18,-18,8,-8
Belmont-sur-Lausanne,64,-64,-19,19,-22,22,-36,36,1,-1,-16,16,4,-4,7,-7,21,-21,5,-5,5,-5,6,-6,15,-15,4,-4,9,-9,1,-1
Paudex,-55,55,-6,6,6,-6,-12,12,3,-3,-1,1,-8,8,4,-4,9,-9,14,-14,5,-5,0,0,16,-16,7,-7,7,-7,5,-5
Pully,-1104,1104,-48,48,-58,58,-28,28,12,-12,46,-46,57,-57,105,-105,79,-79,109,-109,191,-191,197,-197,160,-160,166,-166,136,-136,100,-100
Chexbres,-144,144,3,-3,-24,24,-6,6,0,0,4,-4,8,-8,14,-14,9,-9,20,-20,15,-15,33,-33,18,-18,35,-35,29,-29,17,-17
Forel (Lavaux),-42,42,-6,6,3,-3,-2,2,-5,5,-1,1,-6,6,3,-3,10,-10,4,-4,17,-17,2,-2,5,-5,3,-3,6,-6,2,-2
Lutry,-459,459,-45,45,-23,23,-21,21,10,-10,-12,12,6,-6,29,-29,19,-19,39,-39,54,-54,63,-63,67,-67,98,-98,78,-78,90,-90
Puidoux,19,-19,-28,28,-12,12,-23,23,7,-7,-2,2,-9,9,4,-4,-7,7,-2,2,11,-11,5,-5,6,-6,1,-1,6,-6,2,-2
Rivaz,6,-6,-1,1,-1,1,-3,3,-9,9,2,-2,2,-2,-1,1,-1,1,-1,1,2,-2,2,-2,1,-1,3,-3,4,-4,2,-2
Saint-Saphorin (Lavaux),21,-21,-4,4,-1,1,0,0,-2,2,-6,6,-3,3,-2,2,0,0,4,-4,-3,3,1,-1,2,-2,7,-7,0,0,0,0
Savigny,-56,56,0,0,-30,30,-25,25,-3,3,11,-11,6,-6,-11,11,9,-9,1,-1,12,-12,13,-13,17,-17,25,-25,20,-20,10,-10
Bourg-en-Lavaux,-111,111,0,0,-15,15,3,-3,-18,18,-12,12,8,-8,1,-1,14,-14,7,-7,17,-17,23,-23,47,-47,34,-34,18,-18,22,-22
Essertes,-2,2,-3,3,-5,5,1,-1,-2,2,4,-4,-2,2,0,0,0,0,0,0,2,-2,-4,4,2,-2,1,-1,2,-2,1,-1
Ferlens (VD),-16,16,5,-5,-2,2,3,-3,2,-2,0,0,2,-2,-4,4,4,-4,4,-4,3,-3,3,-3,1,-1,0,0,1,-1,1,-1
Maracon,-12,12,1,-1,-1,1,-1,1,0,0,3,-3,-1,1,4,-4,-1,1,-1,1,-1,1,3,-3,1,-1,2,-2,2,-2,0,0
Mézières (VD),-56,56,-6,6,-5,5,-9,9,0,0,9,-9,10,-10,-4,4,6,-6,6,-6,11,-11,15,-15,3,-3,5,-5,16,-16,4,-4
Montpreveyres,17,-17,-6,6,8,-8,-5,5,-3,3,-2,2,4,-4,2,-2,1,-1,-1,1,1,-1,-1,1,0,0,4,-4,1,-1,1,-1
Servion,-31,31,-6,6,2,-2,9,-9,-6,6,8,-8,-9,9,6,-6,4,-4,7,-7,7,-7,11,-11,1,-1,4,-4,6,-6,3,-3
Oron,-158,158,-29,29,-24,24,-17,17,-8,8,4,-4,14,-14,10,-10,12,-12,16,-16,11,-11,27,-27,29,-29,35,-35,37,-37,24,-24
Apples,-59,59,-14,14,-2,2,-12,12,5,-5,6,-6,9,-9,-4,4,4,-4,0,0,3,-3,8,-8,7,-7,4,-4,8,-8,7,-7
